City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Umba,RU,66.6871,34.3429,46.49,93,100,15.41,light rain
1,Hilo,US,19.7297,-155.09,73.62,85,100,1.99,overcast clouds
2,Torbay,CA,47.6666,-52.7314,68.88,60,20,12.66,few clouds
3,Avarua,CK,-21.2078,-159.775,73.45,83,29,3.44,scattered clouds
4,Punta Arenas,CL,-53.15,-70.9167,39.31,70,40,16.11,scattered clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,76.96,93,70,7.0,broken clouds
6,Hermanus,ZA,-34.4187,19.2345,55.8,56,100,7.81,overcast clouds
7,Yenagoa,NG,4.9247,6.2642,73.72,96,100,5.88,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,72.36,67,36,6.78,scattered clouds
9,Ponta Do Sol,PT,32.6667,-17.1,76.71,76,37,8.81,scattered clouds
10,Grindavik,IS,63.8424,-22.4338,54.9,87,75,16.11,broken clouds
11,Bredasdorp,ZA,-34.5322,20.0403,52.77,56,100,4.54,overcast clouds
12,Adrar,MR,20.5022,-10.0711,108.45,6,5,15.97,clear sky
13,Esperance,AU,-33.8667,121.9,58.91,69,0,13.87,clear sky
14,Sitka,US,57.0531,-135.33,57.09,67,0,0.0,clear sky
15,Umm Lajj,SA,25.0213,37.2685,83.46,69,0,7.0,clear sky
16,Ushuaia,AR,-54.8,-68.3,35.26,93,75,12.66,broken clouds
17,Albany,US,42.6001,-73.9662,73.24,64,98,11.36,overcast clouds
18,Souillac,MU,-20.5167,57.5167,73.78,78,40,9.22,scattered clouds
19,Bethel,US,41.3712,-73.414,70.03,80,100,10.36,overcast clouds
20,New Norfolk,AU,-42.7826,147.0587,43.72,89,37,2.77,scattered clouds
21,Kawalu,ID,-7.3817,108.2082,72.9,95,100,2.26,overcast clouds
22,Hobyo,SO,5.3505,48.5268,79.11,82,99,23.98,overcast clouds
23,Lakselv,NO,70.0513,24.9718,42.62,81,100,14.97,overcast clouds
24,Yabassi,CM,4.457,9.9682,75.25,97,100,2.26,moderate rain
25,Aksarka,RU,66.5606,67.7975,53.83,49,18,12.5,few clouds
26,Port Elizabeth,ZA,-33.918,25.5701,55.69,61,0,5.75,clear sky
27,Skjervoy,NO,70.0311,20.9714,51.8,74,8,6.46,clear sky
28,Dingle,PH,10.9995,122.6711,78.28,81,28,4.56,scattered clouds
29,Aklavik,CA,68.2191,-135.0107,58.35,42,20,2.53,few clouds
30,Chokurdakh,RU,70.6333,147.9167,49.37,57,99,13.13,overcast clouds
31,Viradouro,BR,-20.8731,-48.2969,86.88,28,0,1.74,clear sky
32,Gulfport,US,30.3674,-89.0928,93.09,64,20,3.0,haze
33,Tuatapere,NZ,-46.1333,167.6833,42.75,81,96,1.59,overcast clouds
34,Butaritari,KI,3.0707,172.7902,82.09,76,10,13.35,light rain
35,East London,ZA,-33.0153,27.9116,49.14,87,0,1.14,clear sky
36,Qaanaaq,GL,77.484,-69.3632,35.44,66,14,0.56,few clouds
37,Igbaras,PH,10.7157,122.2657,78.42,83,62,6.29,broken clouds
38,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,49,11.1,scattered clouds
39,Tanhacu,BR,-14.0214,-41.2481,82.6,30,1,3.8,clear sky
40,Luderitz,NA,-26.6481,15.1594,59.31,53,6,9.19,clear sky
41,Ancud,CL,-41.8697,-73.8203,47.23,83,100,16.78,light rain
42,Lata,PT,40.1629,-8.3327,74.07,53,88,2.17,overcast clouds
43,Charters Towers,AU,-20.1,146.2667,60.8,71,1,9.69,clear sky
44,Nguruka,TZ,-5.1092,31.0419,73.98,40,13,4.45,few clouds
45,Saint-Pierre,RE,-21.3393,55.4781,72.91,78,0,5.75,clear sky
46,Cidreira,BR,-30.1811,-50.2056,67.64,62,31,2.57,scattered clouds
47,Katsuura,JP,35.1333,140.3,71.04,92,100,18.01,overcast clouds
48,Labuhan,ID,-6.8844,112.2051,79.41,86,44,6.73,scattered clouds
49,Nikolskoye,RU,59.7035,30.7861,64.29,59,57,8.28,broken clouds
50,Itarema,BR,-2.9248,-39.9167,85.3,59,18,11.52,few clouds
51,Izumo,JP,35.3667,132.7667,66.15,88,89,6.8,overcast clouds
52,Junagadh,IN,21.5167,70.4667,84.58,70,88,9.71,overcast clouds
53,Dalbandin,PK,28.8947,64.4101,98.22,6,0,14.81,clear sky
54,Prado,BR,-17.3411,-39.2208,76.55,50,51,7.9,broken clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,60,0,12.66,clear sky
56,Hasaki,JP,35.7333,140.8333,70.2,86,100,12.19,overcast clouds
57,Carnarvon,AU,-24.8667,113.6333,71.55,72,100,13.49,overcast clouds
58,Constitucion,CL,-35.3333,-72.4167,55.8,69,3,7.27,clear sky
59,Hobart,AU,-42.8794,147.3294,44.06,96,24,5.75,few clouds
60,Cape Town,ZA,-33.9258,18.4232,57.11,68,0,4.61,clear sky
61,Tiznit,MA,29.5833,-9.5,76.15,50,0,7.63,clear sky
62,Port Alfred,ZA,-33.5906,26.891,57.16,65,73,7.4,broken clouds
63,Cadillac,US,44.2519,-85.4012,82.08,39,0,16.11,clear sky
64,Kapaa,US,22.0752,-159.319,73.38,96,40,11.5,scattered clouds
65,Barrow,US,71.2906,-156.7887,35.62,93,0,10.36,clear sky
66,Vaini,TO,-21.2,-175.2,73.56,88,20,8.05,few clouds
67,Emirdag,TR,39.0197,31.15,62.76,83,87,9.01,moderate rain
68,Chuy,UY,-33.6971,-53.4616,63.41,60,100,4.0,overcast clouds
69,Urengoy,RU,65.9667,78.3667,57.24,94,100,15.26,light rain
70,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,65,0,10.36,clear sky
71,Cairns,AU,-16.9167,145.7667,73.35,73,40,11.5,scattered clouds
72,Montepuez,MZ,-13.1256,38.9997,73.38,52,71,2.17,broken clouds
73,Betare Oya,CM,5.6,14.0833,69.15,95,91,0.78,overcast clouds
74,Raisen,IN,23.3333,77.8,81.5,74,100,7.4,overcast clouds
75,Puerto Escondido,MX,15.85,-97.0667,82.99,72,100,5.28,overcast clouds
76,Castanos,MX,26.7833,-101.4167,88.34,38,0,6.51,clear sky
77,Severo-Kurilsk,RU,50.6789,156.125,45.91,88,79,4.47,broken clouds
78,Richards Bay,ZA,-28.783,32.0377,57.36,68,3,6.17,clear sky
79,Coquimbo,CL,-29.9533,-71.3436,58.73,72,40,9.22,scattered clouds
80,Shenavan,AM,40.0549,43.9288,81.18,36,75,8.05,broken clouds
81,Huarmey,PE,-10.0681,-78.1522,68.11,67,14,14.16,few clouds
82,Kruisfontein,ZA,-34.0033,24.7314,53.89,46,89,7.11,overcast clouds
83,Pangnirtung,CA,66.1451,-65.7125,39.2,75,75,20.71,broken clouds
84,Palasa,IN,18.7667,84.4167,82.06,85,94,8.19,overcast clouds
85,Castro,BR,-24.7911,-50.0119,72.07,44,0,3.87,clear sky
86,Kaitangata,NZ,-46.2817,169.8464,38.26,88,51,4.9,broken clouds
87,Coffs Harbour,AU,-30.3,153.1333,49.14,93,0,1.14,mist
88,Batagay-Alyta,RU,67.8006,130.4114,38.77,89,100,5.28,overcast clouds
89,Hervey Bay,AU,-25.2986,152.8535,59.02,88,0,1.01,clear sky
90,College,US,64.8569,-147.8028,59.29,77,75,3.44,broken clouds
91,Valvedditturai,LK,9.8167,80.1667,79.29,79,89,15.39,overcast clouds
92,Ambilobe,MG,-13.2,49.05,72.01,86,9,3.62,light rain
93,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,75,11,5.82,few clouds
94,Mataura,NZ,-46.1927,168.8643,37.47,94,89,1.79,overcast clouds
95,Sisimiut,GL,66.9395,-53.6735,38.26,75,100,12.01,overcast clouds
96,Botwood,CA,49.1499,-55.3482,80.46,28,3,5.01,clear sky
97,Imperia,IT,43.9667,7.7833,84.0,70,15,3.62,few clouds
98,Bluff,NZ,-46.6,168.3333,37.8,62,39,0.65,scattered clouds
99,Busselton,AU,-33.65,115.3333,65.98,66,37,19.55,scattered clouds
100,Thompson,CA,55.7435,-97.8558,57.36,77,100,14.97,overcast clouds
101,Altay,CN,47.8667,88.1167,62.91,41,99,4.36,overcast clouds
102,Santa Fe,AR,-31.6333,-60.7,69.01,60,76,5.01,broken clouds
103,Rondonopolis,BR,-16.4708,-54.6356,95.2,28,0,7.02,clear sky
104,Geraldton,AU,-28.7667,114.6,61.21,88,20,12.66,few clouds
105,Tarrafal,CV,15.2833,-23.7667,84.99,82,68,13.94,broken clouds
106,Sakaiminato,JP,35.55,133.2333,66.18,94,20,2.3,few clouds
107,Sobolevo,RU,54.4299,31.8996,59.54,81,82,5.61,broken clouds
108,Quatre Cocos,MU,-20.2078,57.7625,74.08,69,49,13.8,scattered clouds
109,Airai,TL,-8.9266,125.4092,58.91,94,66,3.94,broken clouds
110,Fortuna,US,40.5982,-124.1573,56.93,92,0,8.05,clear sky
111,Saint George,US,37.1041,-113.5841,88.63,11,0,3.44,clear sky
112,Kongolo,CD,-5.3833,27.0,81.79,36,30,3.78,scattered clouds
113,Isangel,VU,-19.55,169.2667,75.81,84,100,11.05,overcast clouds
114,Byron Bay,AU,-28.65,153.6167,51.71,75,0,8.12,clear sky
115,Coihaique,CL,-45.5752,-72.0662,43.41,87,100,4.61,moderate rain
116,Lasa,IT,46.6166,10.7002,76.69,48,54,7.74,broken clouds
117,Dikson,RU,73.5069,80.5464,35.46,94,100,8.39,overcast clouds
118,Xiongzhou,CN,25.1167,114.3,70.16,98,100,0.69,overcast clouds
119,Sept-Iles,CA,50.2001,-66.3821,73.4,56,100,12.66,overcast clouds
120,Codrington,AU,-38.2667,141.9667,48.52,95,97,5.32,overcast clouds
121,Chifeng,CN,42.2683,118.9636,71.13,57,9,5.91,clear sky
122,Hofn,IS,64.2539,-15.2082,55.42,76,75,14.97,broken clouds
123,Evensk,RU,61.95,159.2333,44.62,83,74,1.92,broken clouds
124,Sinnamary,GF,5.3833,-52.95,82.63,70,57,5.95,heavy intensity rain
125,Faanui,PF,-16.4833,-151.75,80.38,69,7,17.45,clear sky
126,Kodiak,US,57.79,-152.4072,49.51,81,100,0.0,overcast clouds
127,Araouane,ML,18.9048,-3.5265,103.53,18,7,25.1,clear sky
128,Trat,TH,12.5,102.5,84.87,92,100,1.77,overcast clouds
129,Oranjestad,AW,12.524,-70.027,87.75,66,20,20.71,few clouds
130,Grand Gaube,MU,-20.0064,57.6608,74.37,66,35,5.99,scattered clouds
131,Zima,RU,53.9202,102.0442,62.92,83,34,3.51,scattered clouds
132,Nouadhibou,MR,20.931,-17.0347,75.18,64,3,20.71,sand
133,Mogadishu,SO,2.0371,45.3438,79.18,84,72,13.04,light rain
134,Saint-Louis,SN,16.3333,-15.0,107.24,17,67,15.64,broken clouds
135,Saint-Georges,GD,12.0564,-61.7485,85.68,70,20,29.93,few clouds
136,Provideniya,RU,64.3833,-173.3,39.38,94,94,10.33,overcast clouds
137,Beringovskiy,RU,63.05,179.3167,40.69,86,44,9.71,scattered clouds
138,Hohhot,CN,40.8106,111.6522,70.09,35,0,6.71,clear sky
139,Vostok,RU,46.4856,135.8833,52.34,95,47,3.74,scattered clouds
140,Nemuro,JP,43.3236,145.575,53.56,98,86,14.2,overcast clouds
141,Ribeira Grande,PT,38.5167,-28.7,75.6,69,20,17.27,few clouds
142,Anzio,IT,41.4853,12.6179,90.7,44,2,5.08,clear sky
143,Oksfjord,NO,70.2396,22.3479,46.99,69,89,5.68,overcast clouds
144,Requena,ES,39.4883,-1.1004,84.79,24,39,13.51,scattered clouds
145,Abha,SA,18.2164,42.5053,82.22,60,20,6.91,few clouds
146,Porto Empedocle,IT,37.2934,13.5264,86.31,56,25,4.32,scattered clouds
147,Jamestown,US,42.097,-79.2353,86.05,70,40,11.5,scattered clouds
148,Mahebourg,MU,-20.4081,57.7,74.25,78,40,9.22,scattered clouds
149,Atuona,PF,-9.8,-139.0333,78.67,64,75,19.62,broken clouds
150,Charyshskoye,RU,51.3978,83.5598,52.66,91,89,4.81,moderate rain
151,Necochea,AR,-38.5473,-58.7368,54.01,67,81,8.3,broken clouds
152,Solnechnyy,RU,50.7214,136.6319,54.86,98,89,3.49,overcast clouds
153,Khani,GE,41.9563,42.9566,63.97,91,92,1.45,overcast clouds
154,Port Lincoln,AU,-34.7333,135.8667,54.43,72,4,3.71,clear sky
155,Yar-Sale,RU,66.8333,70.8333,54.52,49,2,15.52,clear sky
156,Gumdag,TM,39.2061,54.5906,83.75,39,4,14.83,clear sky
157,Yellowknife,CA,62.456,-114.3525,52.32,71,75,12.66,broken clouds
158,Uravakonda,IN,14.95,77.2667,84.88,55,99,16.28,overcast clouds
159,Komsomolskiy,UZ,40.4272,71.7189,75.92,53,100,13.8,overcast clouds
160,Amahai,ID,-3.3333,128.9167,76.6,89,94,3.6,overcast clouds
161,Baruun-Urt,MN,46.6806,113.2792,61.79,83,100,2.39,light rain
162,Champerico,GT,14.3,-91.9167,79.34,84,100,19.93,overcast clouds
163,Cam Ranh,VN,11.9214,109.1591,84.16,74,20,8.05,few clouds
164,Kununurra,AU,-15.7667,128.7333,53.58,76,55,0.0,broken clouds
165,Coahuayana,MX,18.7333,-103.6833,79.38,81,100,2.64,overcast clouds
166,Hovd,MN,48.0056,91.6419,67.39,26,84,7.61,broken clouds
167,Eusebio,BR,-3.89,-38.4506,86.22,65,40,13.8,scattered clouds
168,Inhambane,MZ,-23.865,35.3833,66.18,63,20,6.91,few clouds
169,Trapani,IT,37.8333,12.6667,88.27,42,20,11.5,few clouds
170,Billings,US,45.7833,-108.5007,72.28,47,20,9.22,few clouds
171,Samarinda,ID,-0.5,117.15,72.57,99,72,0.94,broken clouds
172,Talnakh,RU,69.4865,88.3972,60.21,70,100,2.57,light rain
173,Moree,AU,-29.4667,149.85,51.37,67,18,4.05,few clouds
174,Sortland,NO,68.6949,15.4162,51.76,68,38,4.88,scattered clouds
175,Puerto Madryn,AR,-42.7692,-65.0385,54.84,38,2,16.26,clear sky
176,Clyde River,CA,70.4692,-68.5914,32.23,93,100,26.46,light snow
177,Salta,AR,-24.7859,-65.4117,61.39,48,0,6.91,clear sky
178,Tasiilaq,GL,65.6145,-37.6368,36.99,95,100,2.08,overcast clouds
179,Half Moon Bay,US,37.4636,-122.4286,71.91,74,100,19.57,overcast clouds
180,Lebu,CL,-37.6167,-73.65,51.49,79,8,3.87,clear sky
181,Sao Felix Do Xingu,BR,-6.6447,-51.995,90.01,39,4,6.08,clear sky
182,Belaya Gora,RU,68.5333,146.4167,50.94,58,13,13.49,few clouds
183,Hearst,CA,49.6835,-83.6665,74.82,43,78,16.62,broken clouds
184,Khatanga,RU,71.9667,102.5,65.64,34,73,11.81,broken clouds
185,Togitsu,JP,32.8333,129.85,74.98,83,98,1.16,overcast clouds
186,Hirara,JP,24.8,125.2833,81.64,82,100,10.38,light rain
187,Huadian,CN,42.9633,126.7478,58.87,96,100,1.81,overcast clouds
188,San Quintin,MX,30.4833,-115.95,70.77,57,0,6.6,clear sky
189,San Jeronimo,PE,-11.9472,-75.2829,58.98,33,0,3.33,clear sky
190,Longyearbyen,SJ,78.2186,15.6401,39.04,81,75,12.66,light rain
191,Sao Filipe,CV,14.8961,-24.4956,75.54,79,88,8.08,overcast clouds
192,Gamba,GA,-2.65,10.0,74.75,78,81,7.99,broken clouds
193,Atar,MR,20.5169,-13.0499,109.58,8,0,14.61,clear sky
194,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,81,75,12.66,broken clouds
195,Hithadhoo,MV,-0.6,73.0833,83.91,65,100,11.45,overcast clouds
196,Mar Del Plata,AR,-38.0023,-57.5575,54.09,79,75,5.75,broken clouds
197,Xuzhou,CN,34.1805,117.1571,86.74,47,6,13.65,clear sky
198,Izhevskoye,RU,54.5567,40.8703,60.24,84,27,6.71,scattered clouds
199,Sampit,ID,-2.5333,112.95,73.49,98,95,1.19,light rain
200,Victoria,HK,22.2855,114.1577,84.38,86,88,11.01,overcast clouds
201,Tautira,PF,-17.7333,-149.15,78.3,78,28,20.29,light rain
202,Saskylakh,RU,71.9167,114.0833,49.41,57,52,12.19,broken clouds
203,Monterey,US,36.2505,-121.2516,78.17,29,2,5.88,clear sky
204,Ranong,TH,9.9658,98.6348,79.39,88,97,1.39,overcast clouds
205,Tiksi,RU,71.6872,128.8694,31.33,86,52,5.23,broken clouds
206,Padang,ID,-0.9492,100.3543,76.8,91,100,5.88,light rain
207,Cockburn Town,TC,21.4612,-71.1419,82.04,77,94,13.4,overcast clouds
208,Cherskiy,RU,68.75,161.3,43.97,51,57,6.42,broken clouds
209,Astana,KZ,51.1801,71.446,62.55,55,0,4.47,clear sky
210,Manoel Urbano,BR,-8.8389,-69.2597,90.97,43,13,2.04,few clouds
211,Lavrentiya,RU,65.5833,-171.0,39.25,94,97,16.04,overcast clouds
212,Westport,US,41.1415,-73.3579,71.33,85,100,8.01,overcast clouds
213,Norman Wells,CA,65.282,-126.8329,57.24,51,20,10.36,few clouds
214,Abu Dhabi,AE,24.4667,54.3667,96.91,49,0,2.3,clear sky
215,Saldanha,ZA,-33.0117,17.9442,62.65,48,99,13.18,overcast clouds
216,Moberly,US,39.4184,-92.4382,89.58,62,0,11.5,clear sky
217,Biala Podlaska,PL,52.0324,23.1165,67.89,65,78,3.27,broken clouds
218,Nosy Varika,MG,-20.5833,48.5333,72.18,89,96,7.38,moderate rain
219,Beihai,CN,21.4833,109.1,82.22,86,99,8.66,overcast clouds
220,Mount Isa,AU,-20.7333,139.5,56.97,35,5,0.0,clear sky
221,Kualakapuas,ID,-3.0091,114.3876,73.2,98,62,1.05,broken clouds
222,Ilulissat,GL,69.2167,-51.1,43.86,55,6,7.49,clear sky
223,Banda Aceh,ID,5.5577,95.3222,80.17,79,100,5.97,overcast clouds
224,Abbeville,FR,50.1,1.8333,80.49,48,45,0.87,scattered clouds
225,Khanewal,PK,30.3,71.9333,102.97,22,6,15.55,clear sky
226,Georgetown,MY,5.4112,100.3354,84.13,83,40,5.99,scattered clouds
227,Vanimo,PG,-2.6741,141.3028,77.77,87,63,5.61,light rain
228,Sur,OM,22.5667,59.5289,91.02,62,2,11.9,clear sky
229,Mount Gambier,AU,-37.8333,140.7667,47.82,96,98,3.04,overcast clouds
230,Pevek,RU,69.7008,170.3133,29.82,86,11,5.66,few clouds
231,Tirano,IT,46.2154,10.1679,88.18,56,63,1.41,broken clouds
232,Hamilton,US,39.1834,-84.5333,93.09,61,40,14.97,scattered clouds
233,Parana,AR,-31.732,-60.5238,68.56,63,70,7.05,broken clouds
234,Kahului,US,20.8947,-156.47,75.85,91,94,5.99,overcast clouds
235,Kalevala,RU,65.2,31.1667,49.78,93,100,10.07,overcast clouds
236,Jiblah,YE,13.9216,44.1467,68.16,61,78,2.42,light rain
237,Boyolangu,ID,-8.1181,111.8935,76.05,90,79,2.24,light rain
